NumIters,Seconds,LearningRate,loss/loss
0.0,0.702346,1e-05,4.60517
10.0,7.342496,1e-05,4.05527
20.0,14.037181,1e-05,3.55863
30.0,20.756863,1e-05,3.08574
40.0,27.501238,1e-05,3.15793
50.0,34.26287,1e-05,3.18546
60.0,41.022981,1e-05,2.87119
70.0,47.807757,1e-05,2.68607
80.0,54.634547,1e-05,2.66242
90.0,61.447985,1e-05,2.55251
100.0,68.287847,1e-05,2.40292
110.0,75.135645,1e-05,2.61126
120.0,81.97974,1e-05,2.77045
130.0,88.833217,1e-05,2.35794
140.0,95.686628,1e-05,2.13963
150.0,102.555322,1e-05,2.11855
160.0,109.432376,1e-05,2.0995
170.0,116.289917,1e-05,2.13464
180.0,123.163923,1e-05,1.8858
190.0,130.044945,1e-05,2.00241
200.0,136.936431,1e-05,2.143
210.0,143.825629,1e-05,2.27821
220.0,150.711953,1e-05,2.06056
230.0,157.603247,1e-05,1.93437
240.0,164.493193,1e-05,1.87405
250.0,171.392222,1e-05,2.14152
260.0,178.284882,1e-05,1.88221
270.0,185.185212,1e-05,1.60458
280.0,192.075565,1e-05,1.56648
290.0,198.981071,1e-05,1.81412
300.0,205.887109,1e-05,1.84088
310.0,212.790662,1e-05,1.73002
320.0,219.693612,1e-05,1.78067
330.0,226.607622,1e-05,1.80596
340.0,233.513609,1e-05,1.72403
350.0,240.421691,1e-05,1.61589
360.0,247.337355,1e-05,1.87789
370.0,254.245998,1e-05,1.7887
380.0,261.174098,1e-05,1.78411
390.0,268.090113,1e-05,1.80528
400.0,275.009595,1e-05,1.67502
410.0,281.923755,1e-05,1.67856
420.0,288.849425,1e-05,1.56609
430.0,295.77257,1e-05,1.54282
440.0,302.688182,1e-05,1.67073
450.0,309.605028,1e-05,1.73744
460.0,316.518982,1e-05,1.54894
470.0,323.442443,1e-05,1.31926
480.0,330.369946,1e-05,1.81151
490.0,337.293178,1e-05,1.57662
500.0,344.215044,1e-05,1.66372
510.0,351.141848,1e-05,1.53035
520.0,358.052301,1e-05,1.61636
530.0,364.977578,1e-05,1.51074
540.0,371.903238,1e-05,1.70239
550.0,378.834745,1e-05,1.80647
560.0,385.759868,1e-05,1.29148
570.0,392.691645,1e-05,1.48269
580.0,399.620318,1e-05,1.69798
590.0,406.551524,1e-05,1.38795
600.0,413.473549,1e-05,1.4587
610.0,420.40296,1e-05,1.25644
620.0,427.328395,1e-05,1.23275
630.0,434.265441,1e-05,1.3411
640.0,441.191444,1e-05,1.36415
650.0,448.121086,1e-05,1.51095
660.0,455.049424,1e-05,1.50047
670.0,461.974639,1e-05,1.27274
680.0,468.908259,1e-05,1.60994
690.0,475.841892,1e-05,1.35514
700.0,482.780387,1e-05,1.28808
710.0,489.71308,1e-05,1.48149
720.0,496.647246,1e-05,1.1667
730.0,503.590281,1e-05,1.53191
740.0,510.511877,1e-05,1.8434
750.0,517.448822,1e-05,1.4563
760.0,524.386476,1e-05,1.30916
770.0,531.31456,1e-05,1.38462
780.0,538.256663,1e-05,1.10533
790.0,545.187605,1e-05,1.49334
800.0,552.128321,1e-05,1.42119
810.0,559.058148,1e-05,1.4376
820.0,565.987089,1e-05,1.33632
830.0,572.913107,1e-05,1.47835
840.0,579.8391,1e-05,1.48729
850.0,586.78305,1e-05,1.51563
860.0,593.712195,1e-05,1.51527
870.0,600.643113,1e-05,1.56625
880.0,607.589629,1e-05,1.40633
890.0,614.528391,1e-05,1.35763
900.0,621.471932,1e-05,1.46216
910.0,628.409613,1e-05,1.43042
920.0,635.346331,1e-05,1.3004
930.0,642.286306,1e-05,1.42733
940.0,649.224199,1e-05,1.46187
950.0,656.156938,1e-05,1.5593
960.0,663.097483,1e-05,1.2297
970.0,670.031501,1e-05,1.24275
980.0,676.986502,1e-05,1.4167
990.0,683.909387,1e-05,1.34335
1000.0,690.845466,1e-05,1.47256
1010.0,697.775307,1e-05,1.17421
1020.0,704.715969,1e-05,1.15307
1030.0,711.652295,1e-05,1.43483
1040.0,718.595378,1e-05,1.57199
1050.0,725.52462,1e-05,1.40146
1060.0,732.462066,1e-05,1.06145
1070.0,739.399999,1e-05,1.44746
1080.0,746.339269,1e-05,1.63098
1090.0,753.27241,1e-05,1.16849
1100.0,760.210456,1e-05,1.35727
1110.0,767.147983,1e-05,1.4268
1120.0,774.082822,1e-05,1.28016
1130.0,781.020943,1e-05,1.15493
1140.0,787.936941,1e-05,1.48566
1150.0,794.871821,1e-05,1.16028
1160.0,801.812225,1e-05,1.19308
1170.0,808.748571,1e-05,1.41183
1180.0,815.684863,1e-05,1.20333
1190.0,822.619785,1e-05,1.07032
1200.0,829.554406,1e-05,1.40525
1210.0,836.480028,1e-05,1.40822
1220.0,843.417344,1e-05,1.22
1230.0,850.341084,1e-05,1.01885
1240.0,857.269272,1e-05,1.31227
1250.0,864.206103,1e-05,1.04154
1260.0,871.134073,1e-05,1.15308
1270.0,878.061366,1e-05,1.24781
1280.0,885.003792,1e-05,1.32051
1290.0,891.943495,1e-05,1.29896
1300.0,898.879655,1e-05,1.25007
1310.0,905.807834,1e-05,1.32656
1320.0,912.755218,1e-05,1.29743
1330.0,919.694785,1e-05,1.29908
1340.0,926.6295,1e-05,1.18144
1350.0,933.557309,1e-05,1.2373
1360.0,940.493729,1e-05,1.23477
1370.0,947.434661,1e-05,1.32268
1380.0,954.382259,1e-05,1.46573
1390.0,961.307589,1e-05,1.33464
1400.0,968.241839,1e-05,1.11873
1410.0,975.165524,1e-05,1.2141
1420.0,982.101624,1e-05,1.15389
1430.0,989.046069,1e-05,1.3604
1440.0,995.983209,1e-05,1.04746
1450.0,1002.912816,1e-05,1.44963
1460.0,1009.842017,1e-05,1.16287
1470.0,1016.787276,1e-05,1.15881
1480.0,1023.726263,1e-05,1.28914
1490.0,1030.656048,1e-05,1.24302
1500.0,1037.585772,1e-05,1.34291
1510.0,1044.5064,1e-05,1.23676
1520.0,1051.439728,1e-05,1.37846
1530.0,1058.37174,1e-05,1.31916
1540.0,1065.313955,1e-05,1.36303
1550.0,1072.240635,1e-05,1.27509
1560.0,1079.172721,1e-05,1.27031
1570.0,1086.104284,1e-05,1.153
1580.0,1093.050822,1e-05,0.966106
1590.0,1099.981384,1e-05,1.20556
1600.0,1106.907497,1e-05,1.24743
1610.0,1113.840032,1e-05,1.08918
1620.0,1120.771752,1e-05,1.22297
1630.0,1127.708938,1e-05,1.23261
1640.0,1134.65211,1e-05,0.965993
1650.0,1141.577195,1e-05,1.14753
1660.0,1148.502355,1e-05,1.28461
1670.0,1155.438794,1e-05,1.0165
1680.0,1162.379697,1e-05,1.00067
1690.0,1169.325544,1e-05,1.37149
1700.0,1176.252036,1e-05,1.41362
1710.0,1183.182584,1e-05,1.16112
1720.0,1190.129338,1e-05,1.20214
1730.0,1197.072785,1e-05,1.37877
1740.0,1204.00959,1e-05,1.01857
1750.0,1210.948986,1e-05,0.905944
1760.0,1217.891394,1e-05,1.39418
1770.0,1224.829713,1e-05,1.04184
1780.0,1231.772051,1e-05,0.965937
1790.0,1238.693601,1e-05,1.34321
1800.0,1245.628895,1e-05,1.06175
1810.0,1252.555621,1e-05,1.20333
1820.0,1259.503913,1e-05,1.11769
1830.0,1266.44716,1e-05,1.13987
1840.0,1273.382091,1e-05,1.0783
1850.0,1280.322258,1e-05,1.23382
1860.0,1287.267135,1e-05,1.12362
1870.0,1294.214503,1e-05,0.935351
1880.0,1301.145333,1e-05,1.14052
1890.0,1308.070893,1e-05,1.20647
1900.0,1315.018771,1e-05,1.17212
1910.0,1321.95312,1e-05,1.13624
1920.0,1328.898251,1e-05,1.06073
1930.0,1335.83128,1e-05,1.15016
1940.0,1342.769904,1e-05,1.42006
1950.0,1349.706526,1e-05,1.26297
1960.0,1356.633583,1e-05,1.38132
1970.0,1363.577407,1e-05,1.04319
1980.0,1370.511293,1e-05,1.10049
1990.0,1377.444252,1e-05,1.24503
2000.0,1384.374436,1e-05,1.32526
2010.0,1391.316502,1e-05,1.26432
2020.0,1398.263019,1e-05,1.25067
2030.0,1405.199764,1e-05,1.25285
2040.0,1412.123365,1e-05,1.21601
2050.0,1419.066125,1e-05,1.35872
2060.0,1426.003118,1e-05,1.05352
2070.0,1432.933063,1e-05,1.18073
2080.0,1439.868255,1e-05,1.01253
2090.0,1446.800881,1e-05,0.935364
2100.0,1453.736648,1e-05,1.21398
2110.0,1460.676776,1e-05,1.22838
2120.0,1467.618656,1e-05,1.17267
2130.0,1474.555374,1e-05,1.14731
2140.0,1481.494136,1e-05,1.0396
2150.0,1488.440127,1e-05,0.941175
2160.0,1495.379443,1e-05,1.37086
2170.0,1502.308137,1e-05,1.29035
2180.0,1509.238949,1e-05,1.08551
2190.0,1516.156216,1e-05,1.09871
2200.0,1523.097032,1e-05,1.21367
2210.0,1530.038155,1e-05,1.3448
2220.0,1536.981001,1e-05,1.17354
2230.0,1543.910458,1e-05,1.24753
2240.0,1550.848121,1e-05,1.0255
2250.0,1557.795415,1e-05,1.39217
2260.0,1564.750489,1e-05,1.02837
2270.0,1571.677132,1e-05,1.19239
2280.0,1578.624138,1e-05,1.01265
2290.0,1585.564149,1e-05,1.18491
2300.0,1592.50784,1e-05,0.769182
2310.0,1599.445206,1e-05,1.49035
2320.0,1606.377881,1e-05,1.10753
2330.0,1613.328906,1e-05,1.02654
2340.0,1620.262269,1e-05,1.1761
2350.0,1627.203145,1e-05,0.938819
2360.0,1634.1353,1e-05,1.03578
2370.0,1641.071174,1e-05,1.03313
2380.0,1648.011863,1e-05,1.23148
2390.0,1654.955468,1e-05,1.04582
2400.0,1661.895812,1e-05,0.965396
2410.0,1668.83553,1e-05,1.37495
2420.0,1675.767254,1e-05,1.05287
2430.0,1682.704682,1e-05,1.16669
2440.0,1689.634746,1e-05,1.50546
2450.0,1696.57041,1e-05,1.12536
2460.0,1703.502308,1e-05,1.14495
2470.0,1710.438212,1e-05,1.05744
2480.0,1717.377633,1e-05,1.02183
2490.0,1724.30607,1e-05,0.904527
2500.0,1731.23968,1e-05,0.9549
2510.0,1738.168396,1e-05,1.2997
2520.0,1745.105541,1e-05,1.18114
2530.0,1752.052003,1e-05,1.10537
2540.0,1758.985838,1e-05,0.976569
2550.0,1765.915333,1e-05,1.15016
2560.0,1772.855851,1e-05,1.18078
2570.0,1779.793496,1e-05,0.878299
2580.0,1786.732577,1e-05,1.06792
2590.0,1793.675301,1e-05,1.17051
2600.0,1800.605394,1e-05,0.827774
2610.0,1807.553666,1e-05,1.30127
2620.0,1814.482535,1e-05,1.13427
2630.0,1821.432173,1e-05,1.10954
2640.0,1828.368278,1e-05,1.25215
2650.0,1835.298984,1e-05,1.19218
2660.0,1842.239911,1e-05,1.05186
2670.0,1849.172083,1e-05,1.09418
2680.0,1856.115115,1e-05,1.09376
2690.0,1863.040958,1e-05,0.928012
2700.0,1869.966839,1e-05,1.16801
2710.0,1876.914035,1e-05,0.856667
2720.0,1883.853379,1e-05,1.2715
2730.0,1890.788972,1e-05,1.11839
2740.0,1897.724933,1e-05,1.04956
2750.0,1904.659674,1e-05,0.870143
2760.0,1911.600097,1e-05,0.997824
2770.0,1918.547816,1e-05,1.03842
2780.0,1925.485069,1e-05,0.968905
2790.0,1932.416872,1e-05,0.903968
2800.0,1939.341845,1e-05,0.997702
2810.0,1946.293276,1e-05,1.05288
2820.0,1953.229071,1e-05,1.11602
2830.0,1960.155796,1e-05,1.14427
2840.0,1967.099189,1e-05,1.19543
2850.0,1974.038038,1e-05,1.33336
2860.0,1980.978988,1e-05,1.06544
2870.0,1987.917087,1e-05,1.11189
